badumtss;Faits *BADUMTSS*;https://cdn.discordapp.com/attachments/203309467251507201/218738863017820171/Ba_dum_tss.gif
cookie;Give that man a cookie !;URL_NOT_FOUND
banhmario; ;URL_NOT_FOUND
banhthor; ;URL_NOT_FOUND
califnope; ;URL_NOT_FOUND
iamdoctor; ;URL_NOT_FOUND
barbare; ;URL_NOT_FOUND
nocookie; ;URL_NOT_FOUND
tortank; ;URL_NOT_FOUND
avecesar; ;URL_NOT_FOUND
nogod; ;URL_NOT_FOUND
trololo; ;URL_NOT_FOUND
gingersoul; ;URL_NOT_FOUND
theanswer; ;URL_NOT_FOUND
licorne; ;URL_NOT_FOUND
godwin; ;URL_NOT_FOUND
académie; ;URL_NOT_FOUND
califyes; ;URL_NOT_FOUND
rickroll; ;URL_NOT_FOUND
broll; ;URL_NOT_FOUND
OSEF; ;URL_NOT_FOUND
popopo; ;URL_NOT_FOUND
